id,name,certification_point,altitude,region,address,latitude,longitude,image_url,first_char
40,백덕산,정상,1350,강원도,강원 영월군 수주면 법흥리,37.396431,128.2935,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/203_0_20131128815.jpg,ㅂ
41,백암산,상왕봉,741,전라남도,전남 장성군 북하면,35.461286,126.868469,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/159_0_20131128549.jpg,ㅂ
42,백운산(광양),상봉,1222,전라남도,전남 광양시 옥룡면,35.106372,127.621344,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/242_0_20131128588.jpg,ㅂ
43,백운산(동강),정상,882,강원도,강원 정선군 신동읍,37.279994,128.596094,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_186_0_1679877066_.jpg,ㅂ
44,북한산,백운대,837,서울특별시,서울 성북구 정릉동 산1-1,37.658698,126.978272,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_160_0_1619408184_.png,ㅂ
45,불갑산(영광),연실봉,516,전라남도,전남 영광군 불갑면,35.19074,126.565029,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_212_0_1706599446_.jpg,ㅂ
46,비슬산,천왕봉,1084,대구광역시,대구 달성군 유가면,35.715453,128.523791,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_226_0_1679903529_.jpg,ㅂ
47,삼악산,용화봉,654,강원도,강원 춘천시 서면,37.839782,127.660429,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_244_0_1677485578_.jpg,ㅅ
48,선운산,수리봉,336,전라북도,전북 고창군 아산면,35.498586,126.569022,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/162_0_20131128564.jpg,ㅅ
49,설악산,대청봉,1708,강원도,강원 양양군 서면 오색리,38.119062,128.465286,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_163_0_1742867072_.jpg,ㅅ
50,소백산,비로봉,1440,경상북도,경북 영주시 풍기읍,36.957437,128.484869,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/164_0_20131128674.jpg,ㅅ
51,소요산,의상대 ,587,경기도,경기  동두천시 소요동,37.938513,127.08791,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_185_0_1630389534_.jpg,ㅅ
52,속리산,천왕봉,1057,충청북도,충북 보은군 속리산면 상판리 19-1,36.543193,127.870804,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/165_0_20131128569.jpg,ㅅ
53,수락산,주봉,640,서울특별시,서울 노원구 상계동,37.699173,127.081237,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_183_0_1695706359_.jpg,ㅅ
54,신불산,정상,1159,울산광역시,울산 울주군 상북면,35.539361,129.054111,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_166_0_1737348777_.jpg,ㅅ
55,연인산,정상,1068,경기도,경기 가평군 가평읍 승안리,37.898784,127.414388,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/167_0_20131128119.jpg,ㅇ
56,오대산 노인봉,노인봉,1338,강원도,강원 강릉시 연곡면,37.78251,128.639083,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/232_0_20131128616.jpg,ㅇ
